file	line	method	prefix	path	auth	roles	endpoint
routes/defaultMenuRoutes.js	18	DELETE	(unmounted?)	/	none		/
routes/addonRoutes.js	12	GET	(unmounted?)	/	protect		/
routes/complianceRoutes.js	9	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/
routes/customerRequestRoutes.js	24	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/customerRoutes.js	21	GET	(unmounted?)	/	none		/
routes/defaultMenuRoutes.js	16	GET	(unmounted?)	/	authorize	["super_admin", "franchise_admin"]	/
routes/feedbackRoutes.js	17	GET	(unmounted?)	/	protect		/
routes/inventoryRoutes.js	26	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/
routes/kioskOwnerRoutes.js	14	GET	(unmounted?)	/	protect		/
routes/kioskRoutes.js	14	GET	(unmounted?)	/	protect		/
routes/kotRoutes.js	58	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/menuRoutes.js	29	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin"]	/
routes/paymentQrRoutes.js	26	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin"]	/
routes/paymentRoutes.js	26	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/
routes/printerConfigRoutes.js	12	GET	(unmounted?)	/	authorize	["waiter", "captain", "manager", "admin"]	/
routes/printQueueRoutes.js	25	GET	(unmounted?)	/	authorize	['admin', 'franchise_admin', 'super_admin']	/
routes/tableRoutes.js	30	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/taskRoutes.js	20	GET	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/userRoutes.js	88	GET	(unmounted?)	/	none		/
routes/addonRoutes.js	13	POST	(unmounted?)	/	protect		/
routes/customerRequestRoutes.js	18	POST	(unmounted?)	/	protect		/
routes/feedbackRoutes.js	20	POST	(unmounted?)	/	none		/
routes/inventoryRoutes.js	32	POST	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/kioskOwnerRoutes.js	16	POST	(unmounted?)	/	none		/
routes/kioskRoutes.js	16	POST	(unmounted?)	/	none		/
routes/orderRoutes.js	36	POST	(unmounted?)	/	authorize	["admin"]	/
routes/printQueueRoutes.js	22	POST	(unmounted?)	/	authorize	['admin', 'franchise_admin', 'super_admin']	/
routes/tableRoutes.js	32	POST	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/taskRoutes.js	35	POST	(unmounted?)	/	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/
routes/waitlistRoutes.js	14	POST	(unmounted?)	/	none		/
routes/defaultMenuRoutes.js	17	PUT	(unmounted?)	/	authorize	["super_admin", "franchise_admin"]	/
routes/printerConfigRoutes.js	14	PUT	(unmounted?)	/	authorize	["waiter", "captain", "manager", "admin"]	/
routes/addonRoutes.js	15	DELETE	(unmounted?)	/:id	none		/:id
routes/attendanceRoutes.js	57	DELETE	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/customerRequestRoutes.js	46	DELETE	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/inventoryRoutes.js	41	DELETE	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/kioskOwnerRoutes.js	18	DELETE	(unmounted?)	/:id	none		/:id
routes/kioskRoutes.js	18	DELETE	(unmounted?)	/:id	none		/:id
routes/paymentQrRoutes.js	28	DELETE	(unmounted?)	/:id	none		/:id
routes/tableRoutes.js	35	DELETE	(unmounted?)	/:id	authorize	["admin"]	/:id
routes/taskRoutes.js	45	DELETE	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/userRoutes.js	116	DELETE	(unmounted?)	/:id	none		/:id
routes/cartRoutes.js	26	GET	(unmounted?)	/:id	authorize	["admin", "cart_admin", "franchise_admin", "super_admin"]	/:id
routes/complianceRoutes.js	28	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/customerRequestRoutes.js	33	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/customerRoutes.js	24	GET	(unmounted?)	/:id	none		/:id
routes/feedbackRoutes.js	19	GET	(unmounted?)	/:id	none		/:id
routes/inventoryRoutes.js	29	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/kioskOwnerRoutes.js	15	GET	(unmounted?)	/:id	protect		/:id
routes/kioskRoutes.js	15	GET	(unmounted?)	/:id	protect		/:id
routes/kotRoutes.js	238	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/orderRoutes.js	65	GET	(unmounted?)	/:id	authorize	["admin", "manager", "waiter", "captain"]	/:id
routes/paymentRoutes.js	36	GET	(unmounted?)	/:id	none		/:id
routes/tableRoutes.js	31	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/taskRoutes.js	32	GET	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/userRoutes.js	102	GET	(unmounted?)	/:id	none		/:id
routes/customerRequestRoutes.js	37	PATCH	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/inventoryRoutes.js	35	PATCH	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id
routes/tableRoutes.js	34	PATCH	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/taskRoutes.js	39	PATCH	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "captain", "manager"]	/:id
routes/addonRoutes.js	14	PUT	(unmounted?)	/:id	none		/:id
routes/customerRequestRoutes.js	36	PUT	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/kioskOwnerRoutes.js	17	PUT	(unmounted?)	/:id	none		/:id
routes/kioskRoutes.js	17	PUT	(unmounted?)	/:id	none		/:id
routes/tableRoutes.js	33	PUT	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id
routes/taskRoutes.js	38	PUT	(unmounted?)	/:id	authorize	["admin", "franchise_admin", "super_admin", "captain", "manager"]	/:id
routes/userRoutes.js	114	PUT	(unmounted?)	/:id	none		/:id
routes/customerRequestRoutes.js	40	POST	(unmounted?)	/:id/acknowledge	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id/acknowledge
routes/paymentRoutes.js	21	POST	(unmounted?)	/:id/cancel	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/:id/cancel
routes/attendanceRoutes.js	48	PATCH	(unmounted?)	/:id/checkout	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/:id/checkout
routes/taskRoutes.js	42	POST	(unmounted?)	/:id/complete	authorize	["admin", "franchise_admin", "super_admin", "captain", "manager"]	/:id/complete
routes/orderRoutes.js	41	PATCH	(unmounted?)	/:id/confirm-payment	authorize	["admin"]	/:id/confirm-payment
routes/orderRoutes.js	40	PATCH	(unmounted?)	/:id/customer-status	authorize	["admin"]	/:id/customer-status
