method	endpoint	file
DELETE	/	routes/defaultMenuRoutes.js
GET	/	routes/addonRoutes.js
GET	/	routes/attendanceRoutes.js
GET	/	routes/complianceRoutes.js
GET	/	routes/customerRequestRoutes.js
GET	/	routes/customerRoutes.js
GET	/	routes/dailyTaskRoutes.js
GET	/	routes/defaultMenuRoutes.js
GET	/	routes/employeeRoutes.js
GET	/	routes/employeeScheduleRoutes.js
GET	/	routes/feedbackRoutes.js
GET	/	routes/inventoryRoutes.js
GET	/	routes/kioskOwnerRoutes.js
GET	/	routes/kioskRoutes.js
GET	/	routes/kotRoutes.js
GET	/	routes/leaveRequestRoutes.js
GET	/	routes/menuRoutes.js
GET	/	routes/orderRoutes.js
GET	/	routes/paymentQrRoutes.js
GET	/	routes/paymentRoutes.js
GET	/	routes/printerConfigRoutes.js
GET	/	routes/printQueueRoutes.js
GET	/	routes/tableRoutes.js
GET	/	routes/taskRoutes.js
GET	/	routes/userRoutes.js
POST	/	routes/addonRoutes.js
POST	/	routes/customerRequestRoutes.js
POST	/	routes/employeeRoutes.js
POST	/	routes/employeeScheduleRoutes.js
POST	/	routes/feedbackRoutes.js
POST	/	routes/inventoryRoutes.js
POST	/	routes/kioskOwnerRoutes.js
POST	/	routes/kioskRoutes.js
POST	/	routes/leaveRequestRoutes.js
POST	/	routes/orderRoutes.js
POST	/	routes/printQueueRoutes.js
POST	/	routes/tableRoutes.js
POST	/	routes/taskRoutes.js
POST	/	routes/userRoutes.js
POST	/	routes/waitlistRoutes.js
PUT	/	routes/defaultMenuRoutes.js
PUT	/	routes/printerConfigRoutes.js
DELETE	/:id	routes/addonRoutes.js
DELETE	/:id	routes/attendanceRoutes.js
DELETE	/:id	routes/customerRequestRoutes.js
DELETE	/:id	routes/employeeRoutes.js
DELETE	/:id	routes/inventoryRoutes.js
DELETE	/:id	routes/kioskOwnerRoutes.js
DELETE	/:id	routes/kioskRoutes.js
DELETE	/:id	routes/orderRoutes.js
DELETE	/:id	routes/paymentQrRoutes.js
DELETE	/:id	routes/tableRoutes.js
DELETE	/:id	routes/taskRoutes.js
DELETE	/:id	routes/userRoutes.js
GET	/:id	routes/cartRoutes.js
