method	endpoint	auth	roles	file	line
GET	/api/addons/	protect		routes/addonRoutes.js	12
POST	/api/addons/	protect		routes/addonRoutes.js	13
DELETE	/api/addons/:id	protect		routes/addonRoutes.js	15
PUT	/api/addons/:id	protect		routes/addonRoutes.js	14
GET	/api/addons/public	protect		routes/addonRoutes.js	7
GET	/api/admin/costing/dashboard	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	82
GET	/api/admin/costing/expense-categories	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	100
POST	/api/admin/costing/expense-categories	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	101
DELETE	/api/admin/costing/expense-categories/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	103
PUT	/api/admin/costing/expense-categories/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	102
GET	/api/admin/costing/expenses	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	92
POST	/api/admin/costing/expenses	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	94
DELETE	/api/admin/costing/expenses/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	96
GET	/api/admin/costing/expenses/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	93
PUT	/api/admin/costing/expenses/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	95
POST	/api/admin/costing/expenses/bulk-import	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	97
GET	/api/admin/costing/ingredient-purchases	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	123
POST	/api/admin/costing/ingredient-purchases	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	124
DELETE	/api/admin/costing/ingredient-purchases/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	126
PUT	/api/admin/costing/ingredient-purchases/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	125
GET	/api/admin/costing/ingredients	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	106
POST	/api/admin/costing/ingredients	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	107
DELETE	/api/admin/costing/ingredients/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	109
PUT	/api/admin/costing/ingredients/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	108
POST	/api/admin/costing/inventory/adjust	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	119
GET	/api/admin/costing/inventory/transactions	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	120
GET	/api/admin/costing/investments	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	85
POST	/api/admin/costing/investments	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	87
DELETE	/api/admin/costing/investments/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	89
GET	/api/admin/costing/investments/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	86
PUT	/api/admin/costing/investments/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	88
GET	/api/admin/costing/outlet-assets	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	135
POST	/api/admin/costing/outlet-assets	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	136
DELETE	/api/admin/costing/outlet-assets/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	138
PUT	/api/admin/costing/outlet-assets/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	137
GET	/api/admin/costing/outlet-opex	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	129
POST	/api/admin/costing/outlet-opex	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	130
DELETE	/api/admin/costing/outlet-opex/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	132
PUT	/api/admin/costing/outlet-opex/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	131
GET	/api/admin/costing/recipes	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	112
POST	/api/admin/costing/recipes	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	114
DELETE	/api/admin/costing/recipes/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	116
GET	/api/admin/costing/recipes/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	113
PUT	/api/admin/costing/recipes/:id	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	115
GET	/api/admin/costing/reports/cost-per-dish	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	144
GET	/api/admin/costing/reports/pnl	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	141
GET	/api/admin/costing/reports/profitability	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	143
GET	/api/admin/costing/reports/roi	authorize	["super_admin", "franchise_admin", "admin", "cart_admin"]	routes/costingRoutes.js	142
POST	/api/admin/logout-all	protect		routes/adminRoutes.js	21
GET	/api/admin/verify	protect		routes/adminRoutes.js	18
POST	/api/ai-session/token	none		routes/aiSessionRoutes.js	7
GET	/api/analytics/attendance	authorize	adminRoles	routes/analyticsRoutes.js	55
GET	/api/analytics/customers	authorize	adminRoles	routes/analyticsRoutes.js	52
GET	/api/analytics/employees	authorize	adminRoles	routes/analyticsRoutes.js	46
GET	/api/analytics/export	authorize	adminRoles	routes/analyticsRoutes.js	61
GET	/api/analytics/inventory	authorize	adminRoles	routes/analyticsRoutes.js	58
GET	/api/analytics/menu	authorize	adminRoles	routes/analyticsRoutes.js	43
GET	/api/analytics/orders	authorize	adminRoles	routes/analyticsRoutes.js	40
GET	/api/analytics/revenue	authorize	adminRoles	routes/analyticsRoutes.js	49
GET	/api/analytics/summary	authorize	adminRoles	routes/analyticsRoutes.js	37
GET	/api/app/apk/:version	none		routes/appUpdateRoutes.js	10
GET	/api/app/version	none		routes/appUpdateRoutes.js	9
DELETE	/api/attendance/:id	authorize	["admin", "franchise_admin", "super_admin", "manager"]	routes/attendanceRoutes.js	57
PATCH	/api/attendance/:id/checkout	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	routes/attendanceRoutes.js	48
PATCH	/api/attendance/:id/end-break	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	routes/attendanceRoutes.js	65
POST	/api/attendance/:id/end-break	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	routes/attendanceRoutes.js	64
